Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Boxscore Link,Team 1 TS PCT,Team 2 TS PCT,Team 1 EFG PCT,Team 2 EFG PCT,Team 1 3P AR,Team 2 3P AR,Team 1 FT AR,Team 2 FT AR,Team 1 TRB PCT,Team 2 TRB PCT,Team 1 AST PCT,Team 2 AST PCT,Team 1 STL PCT,Team 2 STL PCT,Team 1 BLK PCT,Team 2 BLK PCT,Team 1 TO PCT,Team 2 TO PCT,Team 1 OFF RT,Team 2 OFF RT,Team 1 DEF RT,Team 2 DEF RT
"Thu, Feb 8, 2024",8:00p,Chicago Bulls,118,Memphis Grizzlies,110,Box Score,,"16,285",2:13,FedEx Forum,,https://www.basketball-reference.com/boxscores/202402080MEM.html,.665,.569,.620,.560,.329,.505,.278,.143,57.5,42.5,55.8,61.9,3.2,8.5,8.9,7.5,14.5,9.4,125.1,116.6,116.6,125.1
"Thu, Feb 8, 2024",8:00p,Minnesota Timberwolves,129,Milwaukee Bucks,105,Box Score,,"17,577",2:05,Fiserv Forum,,https://www.basketball-reference.com/boxscores/202402080MIL.html,.686,.596,.672,.580,.471,.407,.184,.198,55.1,44.9,70.8,87.5,9.0,6.8,6.3,6.5,7.8,12.9,145.3,118.3,118.3,145.3
"Thu, Feb 8, 2024",9:00p,Utah Jazz,115,Phoenix Suns,129,Box Score,,"17,071",2:11,Footprint Center,,https://www.basketball-reference.com/boxscores/202402080PHO.html,.534,.679,.500,.670,.372,.330,.330,.182,58.4,41.6,68.3,71.2,6.9,9.9,11.9,11.9,12.2,11.2,114.1,128.0,128.0,114.1
"Thu, Feb 8, 2024",10:00p,Denver Nuggets,114,Los Angeles Lakers,106,Box Score,,"18,997",2:12,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202402080LAL.html,.570,.537,.557,.506,.330,.281,.072,.247,56.2,43.8,70.2,65.9,4.2,12.8,9.4,15.4,12.3,6.6,120.0,112.8,111.6,121.3
"Thu, Feb 8, 2024",10:00p,Detroit Pistons,128,Portland Trail Blazers,122,Box Score,OT,"18,125",2:39,Moda Center,,https://www.basketball-reference.com/boxscores/202402080POR.html,.600,.589,.570,.522,.290,.337,.333,.371,54.2,45.8,57.8,70.7,2.9,8.7,11.9,10.6,13.7,14.1,124.1,117.7,118.2,123.5
"Fri, Feb 9, 2024",7:00p,Atlanta Hawks,127,Philadelphia 76ers,121,Box Score,,"19,758",2:24,Wells Fargo Center,,https://www.basketball-reference.com/boxscores/202402090PHI.html,.665,.546,.617,.505,.444,.459,.407,.296,44.9,55.1,73.8,57.1,4.1,7.2,17.0,13.3,12.0,8.3,130.7,123.8,124.5,130.0
"Fri, Feb 9, 2024",7:30p,Washington Wizards,129,Boston Celtics,133,Box Score,,"19,156",2:14,TD Garden,,https://www.basketball-reference.com/boxscores/202402090BOS.html,.619,.637,.579,.582,.495,.370,.221,.304,44.3,55.7,71.1,52.1,7.4,8.3,1.7,10.4,10.3,11.1,119.6,123.3,123.3,119.6
"Fri, Feb 9, 2024",7:30p,Houston Rockets,104,Toronto Raptors,107,Box Score,,"19,800",2:19,Scotiabank Arena,,https://www.basketball-reference.com/boxscores/202402090TOR.html,.565,.518,.535,.474,.447,.347,.188,.200,53.9,46.1,57.9,60.0,5.2,14.5,4.8,17.0,19.3,10.4,108.0,111.1,111.1,108.0
"Fri, Feb 9, 2024",8:00p,Charlotte Hornets,84,Milwaukee Bucks,120,Box Score,,"17,690",2:08,Fiserv Forum,,https://www.basketball-reference.com/boxscores/202402090MIL.html,.458,.574,.386,.532,.367,.553,.367,.255,47.5,52.5,63.0,63.4,2.1,8.2,4.8,10.0,14.1,6.3,86.5,123.6,123.6,86.5
"Fri, Feb 9, 2024",10:00p,Denver Nuggets,106,Sacramento Kings,135,Box Score,,"17,832",2:10,Golden 1 Center,,https://www.basketball-reference.com/boxscores/202402090SAC.html,.562,.711,.524,.684,.354,.391,.341,.207,45.5,54.5,68.4,62.7,8.7,10.6,9.4,1.9,18.2,14.4,102.0,130.6,130.0,102.5
"Fri, Feb 9, 2024",10:30p,New Orleans Pelicans,122,Los Angeles Lakers,139,Box Score,,"18,997",2:13,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202402090LAL.html,.615,.681,.579,.636,.326,.352,.258,.364,56.2,43.8,60.9,65.3,5.0,5.0,12.3,8.3,11.6,7.3,121.5,137.8,138.5,120.9
"Sat, Feb 10, 2024",3:00p,Oklahoma City Thunder,111,Dallas Mavericks,146,Box Score,,"20,277",2:14,American Airlines Center,,https://www.basketball-reference.com/boxscores/202402100DAL.html,.518,.692,.474,.665,.480,.418,.214,.363,42.6,57.4,60.5,56.6,4.8,7.7,7.5,5.9,8.5,10.2,107.2,141.0,141.0,107.2
