date,arena,team,opponent,home,win,points,opponent_points,true_shooting,opponent_true_shooting,effective_field_goal,opponent_effective_field_goal,3pt_attempted,opponent_3pt_attempted,free_throws_attempted,opponent_free_throws_attempted,rebounds,opponent_rebounds,assists,opponent_assists,steals,opponent_steals,blocks,opponent_blocks,turnovers,opponent_turnovers,offensive_rating,opponent_offensive_rating,defensive_rating,opponent_defensive_rating,team_code,opponent_code,arena_code,weighted_points,weighted_opponent_points,weighted_true_shooting,weighted_opponent_true_shooting,weighted_effective_field_goal,weighted_opponent_effective_field_goal,weighted_3pt_attempted,weighted_opponent_3pt_attempted,weighted_free_throws_attempted,weighted_opponent_free_throws_attempted,weighted_rebounds,weighted_opponent_rebounds,weighted_assists,weighted_opponent_assists,weighted_steals,weighted_opponent_steals,weighted_blocks,weighted_opponent_blocks,weighted_turnovers,weighted_opponent_turnovers,weighted_offensive_rating,weighted_opponent_offensive_rating,weighted_defensive_rating,weighted_opponent_defensive_rating
2023-11-15,State Farm Arena,Atlanta Hawks,New York Knicks,1,0,114,116,0.659,0.587,0.627,0.564,0.413,0.362,0.347,0.117,41.7,58.3,68.3,64.4,11.6,9.5,10.0,4.5,14.8,14.7,120.6,122.1,122.7,120.0,0,19,26,120.1324803197695,118.66039420906229,0.6041368495514854,0.5952268210537942,0.5574965821685497,0.5592763661501988,0.4311927391319618,0.3642218668972312,0.28354924729989955,0.2789461840567865,51.36804625720025,48.631953742799745,61.17738257720533,63.573438582494994,8.339110987069946,9.4537355221587,10.915786157130357,10.906695512864628,14.38247718127559,13.746617685792948,118.88958080933463,117.54111288812386,117.3555207853968,119.0910254784472
2023-11-17,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,1,0,116,126,0.568,0.628,0.517,0.563,0.371,0.341,0.337,0.318,47.6,52.4,60.0,74.4,8.2,9.1,6.9,7.1,11.3,14.5,118.9,127.9,129.2,117.7,0,22,26,117.7096357219222,117.60931513477786,0.6258124001857942,0.5919765360290896,0.5849562675884911,0.561142598108303,0.4240050797466031,0.3633440429290501,0.30861762182255287,0.2149638446566798,47.54835627458719,52.4516437254128,63.99141446080045,63.89999973895481,9.62743592529887,9.472013875184746,10.553973737376843,8.375512891151798,14.547433749103995,14.123283744094547,119.56533999323261,119.34225605292082,119.4670387876095,119.45014673025544
2023-11-21,State Farm Arena,Atlanta Hawks,Indiana Pacers,1,0,152,157,0.708,0.738,0.679,0.723,0.326,0.479,0.295,0.298,57.4,42.6,49.1,61.4,7.4,6.4,8.2,17.2,12.3,11.6,140.2,144.1,144.8,139.5,0,11,26,117.03527490895274,120.9189962525307,0.6030084679275388,0.6061858860899819,0.558151116485413,0.5618752448549956,0.40309738098300857,0.3545305005109512,0.3198129679283478,0.25560615494044325,47.56872699111328,52.43127300888671,62.417012694290165,68.04169414871872,9.064387997191673,9.325274089575073,9.112674477826976,7.872390559768221,13.266492999545969,14.271878370033681,119.30289857779881,122.71783313717135,123.30617688681124,118.75980646846921
2023-11-22,State Farm Arena,Atlanta Hawks,Brooklyn Nets,1,1,147,145,0.571,0.587,0.517,0.553,0.422,0.31,0.25,0.212,49.6,50.4,47.1,50.9,8.7,6.9,10.3,9.0,9.8,11.5,127.4,125.7,125.7,127.4,0,2,26,130.8135370030997,135.13714111018388,0.6443816188044152,0.658128791530557,0.6057730436280738,0.6253683539946285,0.37271624916543883,0.40357917405898164,0.3100351254153524,0.27231194933431346,51.442856013515865,48.557143986484135,57.16928685817331,65.42445627563616,8.408516286719365,8.172535350791092,8.753024341027855,11.548045015643238,12.885635039838679,13.218993201620547,127.53764773293466,131.14372804724664,131.77607125856986,126.932724219621
2023-11-25,Capital One Arena,Atlanta Hawks,Washington Wizards,0,1,136,108,0.614,0.579,0.598,0.545,0.363,0.432,0.196,0.136,54.4,45.6,55.8,76.7,12.7,4.9,4.0,9.2,8.3,17.7,132.7,105.9,105.4,133.3,0,29,4,137.18822688481507,139.02141569084657,0.6154818484848599,0.6301162487189919,0.5708116920904753,0.5968676362001173,0.39212559312391954,0.366725031549447,0.28639158410518173,0.24855938688496276,50.71708685782894,49.28291314217105,53.203715067524605,59.704311950378326,8.523310870198825,7.671374706469565,9.362267390753923,10.544552357458013,11.670424127430401,12.542004747057836,127.48343813751238,128.99983298454896,129.38314143937438,127.11675072310871
2023-11-26,TD Garden,Atlanta Hawks,Boston Celtics,0,0,103,113,0.534,0.544,0.517,0.511,0.602,0.495,0.216,0.211,42.6,57.4,41.7,57.1,5.1,9.3,8.3,8.6,14.2,11.1,106.1,116.4,116.4,106.1,0,1,28,136.72043730923238,126.8086850537568,0.6148984638782085,0.6099924418945427,0.5815153777083841,0.5764480178304273,0.380659223342064,0.39242294343637485,0.2508055850799289,0.20424621025880246,52.16700218772166,47.832997812278336,54.225838907824155,66.39529479302405,10.167619428050157,6.580320283877775,7.2512119863208095,10.015219462636455,10.343531686051543,14.572640849528094,129.53713115762412,119.90572713156237,119.94128845789585,129.55101609104727
2023-11-28,Rocket Mortgage Fieldhouse,Atlanta Hawks,Cleveland Cavaliers,0,0,105,128,0.471,0.637,0.411,0.608,0.436,0.387,0.238,0.183,44.4,55.6,60.0,54.0,8.7,7.7,5.3,21.1,9.0,14.5,101.5,123.7,123.7,101.5,0,5,22,123.44802668922205,121.37356757662727,0.5830567169496869,0.5840177257718152,0.556122036085964,0.5506875877700095,0.4677792582282013,0.4327974143371929,0.23710605880112698,0.206904511213335,48.40141693526665,51.598583064733354,49.29565144257361,62.7366539457631,8.172997433731933,7.650789970147367,7.664016394616075,9.458187130781177,11.861442931875423,13.205804622936832,120.31224401792329,118.52586809874174,118.54743243799696,120.32066382240598
2023-11-30,Frost Bank Center,Atlanta Hawks,San Antonio Spurs,0,1,137,135,0.63,0.681,0.583,0.64,0.344,0.461,0.302,0.258,44.0,56.0,49.0,70.8,13.0,3.7,4.2,11.1,8.4,17.5,127.1,125.2,125.2,127.1,0,26,11,116.18781657509952,123.9813961813434,0.5389568615310697,0.6048688688073688,0.4990093436596826,0.5732428540836708,0.455272549738751,0.41477386870963784,0.23745786883711745,0.19749690480600013,46.8266616406412,53.1733383593588,53.5083415568569,59.298348895083855,8.38039898546664,7.670156548615139,6.733659125121748,14.039815776689679,10.735323739565082,13.715134456663392,112.90869638710473,120.56214468236496,120.57522238851833,112.9138025824576
2023-12-02,Fiserv Forum,Atlanta Hawks,Milwaukee Bucks,0,0,121,132,0.549,0.69,0.52,0.674,0.376,0.371,0.208,0.169,47.6,52.4,51.1,62.3,10.8,4.9,7.1,9.5,9.1,14.3,119.0,129.1,129.8,118.4,0,16,9,124.37778337943355,128.31741406387547,0.5747839665781459,0.6348278320028429,0.5320611707197124,0.5995129862386989,0.41148480916446567,0.43296467901683,0.26285635302847565,0.22130595602767372,45.71431967577853,54.28568032422145,51.734228435737585,63.824454533360765,10.19829469519932,6.107828864040499,5.736618896107697,12.882945633351456,9.816332035814865,15.204546813163551,118.49322844349535,122.38722378719784,122.39515518183327,118.49632525955423
2023-12-06,State Farm Arena,Atlanta Hawks,Brooklyn Nets,1,0,113,114,0.554,0.545,0.511,0.516,0.372,0.287,0.191,0.255,52.1,47.9,59.5,55.8,4.9,6.9,6.0,10.2,11.3,10.3,111.4,113.0,112.4,112.0,0,2,26,123.04862969190847,129.7665071899861,0.5646380068149971,0.6565380135937273,0.5273151145825472,0.628823536351645,0.3975215795390116,0.4085816525288086,0.24127044424701838,0.20072362539125346,46.45633260996874,53.543667390031246,51.4846603109056,63.2245835123776,10.43506500721777,5.63254966220848,6.273107716786406,11.55176060513335,9.534456243337216,14.8486087327124,118.69264244001218,125.02869313396002,125.3089526904431,118.45842138605013
2023-12-08,Wells Fargo Center,Atlanta Hawks,Philadelphia 76ers,0,0,114,125,0.503,0.605,0.457,0.546,0.375,0.345,0.202,0.425,53.4,46.6,48.8,57.1,3.1,6.1,7.0,12.3,11.0,9.6,116.1,127.3,127.3,116.1,0,22,32,119.09462248459171,123.56258834982665,0.5604520872510735,0.6126492324204575,0.5208953257530776,0.5844289184219398,0.38747916454977005,0.3607408279471747,0.22148966766732384,0.2220806843107218,48.67704351484477,51.322956485155224,54.638593918917,60.303104900930165,8.25708775036562,6.131275152568543,6.16564332475922,11.019860103359656,10.229175120708039,13.058789397754602,115.82308095229895,120.29555629794169,120.22944498224044,115.91711520886122
2023-12-11,State Farm Arena,Atlanta Hawks,Denver Nuggets,1,0,122,129,0.587,0.64,0.547,0.602,0.458,0.33,0.188,0.33,41.7,58.3,56.8,61.7,9.2,9.2,3.4,15.4,8.8,13.7,124.1,131.2,131.2,124.1,0,7,26,117.08998953609259,124.12818133796442,0.5378458298862006,0.6096394111064832,0.4957537817727154,0.569307900863368,0.3825688606947012,0.3545471242066136,0.21382086981637835,0.3019254122268521,50.535433260719856,49.46456673928015,52.341222959995854,59.04274662289806,6.2278759581374645,6.118969000052266,6.493946135624293,11.523569774342114,10.53247942936387,11.697824339081755,115.93204310774178,123.05166603394672,123.01156821033919,115.98907674854449
2023-12-13,Scotiabank Arena,Atlanta Hawks,Toronto Raptors,0,0,128,135,0.591,0.692,0.57,0.678,0.41,0.391,0.19,0.276,47.2,52.8,66.7,78.0,8.9,3.0,15.1,15.3,6.1,13.3,127.0,133.2,133.9,126.3,0,27,23,119.0219603813293,126.04512462912854,0.5571868118005431,0.6215855715103478,0.5159179342264685,0.5821714543864899,0.4122491970263783,0.34488842212233306,0.20366097951663414,0.31297208625503675,47.05890310050483,52.941096899495165,54.095644322235394,60.088311818879795,7.397335176099282,7.331280482670272,5.276552858217292,13.048851692703952,9.8507905058662,12.485632233254407,119.14593739513502,126.2578391725553,126.23351887666111,119.18052967210795
2023-12-15,Scotiabank Arena,Atlanta Hawks,Toronto Raptors,0,1,125,104,0.603,0.591,0.594,0.584,0.406,0.403,0.059,0.325,63.2,36.8,65.4,75.0,4.1,8.2,8.7,10.0,11.9,13.7,126.9,106.7,105.6,128.3,0,27,23,122.55457949292374,129.56862922709226,0.5704913994311138,0.6492917709012762,0.5371977845346332,0.6198774309748075,0.4113641979911098,0.3630320980466035,0.1982857484669512,0.29842455649938177,47.114420966866966,52.88557903313302,59.055122075486594,67.13608334552342,7.988593702536742,5.627037144409922,9.141817279932727,13.934618504965464,8.374954489609928,12.806064227193183,122.23630153252488,128.98939428440772,129.2500747045797,121.98185134286985
2023-12-16,Rocket Mortgage Fieldhouse,Atlanta Hawks,Cleveland Cavaliers,0,0,119,127,0.62,0.59,0.571,0.564,0.424,0.416,0.294,0.149,41.0,59.0,51.2,65.3,5.2,8.2,6.8,6.1,10.3,9.3,122.9,130.5,131.2,122.3,0,5,22,123.51678339855339,119.50809573900187,0.5832826156425678,0.6263556053358971,0.5595478521042133,0.605760675141599,0.4092535375780314,0.37875833868623865,0.1434807401726189,0.3088812429695164,53.443642025252345,46.55635797474768,61.5516523458609,70.23031245523589,6.458541902790834,6.639425362111044,8.967974658144055,12.386457245302703,9.761960343124555,13.157802707134675,124.07133516665786,120.21914713365591,119.94443823701525,124.46786440142056
2023-12-18,State Farm Arena,Atlanta Hawks,Detroit Pistons,1,1,130,124,0.671,0.586,0.635,0.559,0.424,0.234,0.318,0.287,52.6,47.4,54.3,47.9,5.9,6.9,13.9,6.1,15.7,10.9,127.4,122.1,121.5,128.0,0,8,26,121.73956099141213,122.45594135167113,0.5977298344825381,0.6120507359793469,0.564053937974261,0.5893290686087803,0.4150558400419446,0.3934118452031064,0.20270567474823153,0.24597264133543678,48.54743216032813,51.452567839671886,57.47857934752042,68.29037843660237,5.963342405138938,7.253465923666614,8.114939920679774,9.912919842232702,9.973663240907053,11.639869964190707,123.6104489738146,124.26436260368284,124.37317320281977,123.61487304675819
2023-12-20,Toyota Center,Atlanta Hawks,Houston Rockets,0,1,134,127,0.648,0.641,0.61,0.584,0.44,0.382,0.308,0.258,54.3,45.7,66.0,56.8,4.1,4.1,5.5,11.8,10.4,8.3,136.0,130.3,128.9,137.4,0,10,30,124.98979782521113,123.06348246263714,0.626559463335898,0.6018005469107491,0.5919691012929796,0.5773954830179189,0.41857510071475373,0.330688029860564,0.24807055938350475,0.2621156855715132,50.14199695891533,49.858003041084686,56.227903001659996,60.26737155030429,5.938419054441723,7.114387605504635,10.39118883868505,8.412649396235382,12.226806280616122,11.348753159462278,125.10152448639494,123.4127503529449,123.24266508285419,125.34028995613718
